a,b,gcd,x,y,step,time_ms
5836718505637291663,2673411502520594519,1,751329128492238576,-1640337308326968073,42,14
2044580242782715909,7133475149934043748,1,3117365635448952493,-893492169497169432,40,13
7219452322809126001,2461100416752659674,1,-299270133789753923,877886350280104626,31,11
8617892917451644574,-4649331453348565065,1,-1936567211295949636,-3589576054504894001,41,14
-6515307425924197916,-7092862881287197409,1,441020034626842745,-405108791002619869,37,13
3587299528985851728,-2905982921677023855,213,-4350686154945259,-5370717865538443,31,11
5756618561471086866,-2681848591329116525,1,-425968575795227789,-914346401938723511,43,14
3887566014638408089,-2906733307762480998,1,-1120704545682716465,-1498869157556340807,43,14
8984838054079684270,-2621045839280551336,2,421179968321365467,1443787724074528783,38,13
3372406503073747075,-8483068128089115828,1,-2885753885156554841,-1147218791789250767,49,16
-3649212432266074195,5773590427055009903,1,-1390223565211845974,-878694320613261743,38,13
2787731562737156210,489182047239154815,35,-712115441698328,4058175692135341,39,14
6191529856669301007,5003386805180473811,1,1527536595869328954,-1890277287913740007,40,14
5107504758318583142,7573959975982195068,2,-1799988853830530765,1213823635854061524,43,15
-4218436127565883505,6157824947989783017,1,1188200341951037533,813980145848197598,33,12
842284651368705603,5231678843040168368,1,1029806173256650107,-165795714844524265,42,14
430478485104309133,-1909178607328712221,1,800251667374691259,180439443513176726,36,12
